ID,Date,Element,Data_Value
UPM00034519,2009-07-16,TMIN,203
UPM00034519,2013-04-16,TMAX,152
UPM00034519,2011-10-25,TMAX,52
UPM00034519,2010-09-03,TMAX,218
UPM00034519,2013-04-17,TMIN,36
UPM00034524,2005-02-11,TMIN,-184
UPM00034524,2007-02-09,TMIN,6
UPM00034519,2006-05-30,TMIN,83
UPM00034519,2005-11-08,TMIN,-41
UPM00034519,2012-07-03,TMIN,155
UPM00034519,2005-04-14,TMIN,98
UPM00034524,2007-02-08,TMIN,3
UPM00034524,2012-10-10,TMAX,152
UPM00034519,2008-05-01,TMIN,73
UPM00034524,2009-06-03,TMAX,268
UPM00034524,2005-03-07,TMAX,12
UPM00034524,2005-06-01,TMIN,201
UPM00034519,2012-07-03,TMAX,278
UPM00034524,2006-02-20,TMIN,-43
UPM00034519,2010-09-03,TMIN,122
UPM00034519,2009-02-03,TMIN,-62
UPM00034519,2012-08-20,TMIN,129
UPM00034519,2009-04-25,TMIN,23
UPM00034519,2009-04-28,TMIN,91
UPM00034519,2013-10-29,TMAX,108
UPM00034519,2009-10-12,TMIN,98
UPM00034519,2009-02-23,TMAX,-49
UPM00034519,2010-08-19,TMAX,298
UPM00034519,2009-04-25,TMAX,171
UPM00034519,2010-06-30,TMIN,174
UPM00034519,2012-03-17,TMAX,37
UPM00034519,2009-04-10,TMIN,-24
UPM00034524,2005-06-07,TMIN,134
UPM00034519,2009-07-16,TMAX,350
UPM00034524,2006-04-20,TMIN,75
UPM00034519,2006-07-17,TMIN,152
UPM00034519,2013-04-16,TMIN,34
UPM00034519,2005-08-25,TMIN,161
UPM00034519,2014-05-01,TMIN,85
UPM00034519,2010-07-07,TMIN,189
UPM00034519,2012-08-20,TMAX,259
UPM00034519,2006-04-08,TMIN,83
UPM00034519,2005-06-29,TMIN,110
UPM00034519,2012-02-08,TMAX,-143
UPM00034519,2013-04-17,TMAX,163
UPM00034519,2006-08-20,TMAX,327
UPM00034519,2010-04-03,TMAX,140
UPM00034519,2006-12-14,TMIN,-9
UPM00034519,2010-06-16,TMIN,174
UPM00034519,2014-05-21,TMAX,275
UPM00034519,2005-05-25,TMAX,297
UPM00034519,2010-04-07,TMIN,68
UPM00034519,2006-12-14,TMAX,17
UPM00034519,2011-12-10,TMIN,-14
UPM00034519,2010-04-07,TMAX,133
UPM00034524,2009-01-30,TMIN,-64
UPM00034519,2010-11-08,TMIN,52
UPM00034519,2012-03-17,TMIN,-84
UPM00034519,2008-12-22,TMIN,-69
UPM00034519,2014-02-18,TMIN,-7
UPM00034519,2012-08-26,TMAX,363
UPM00034524,2006-10-13,TMAX,132
UPM00034524,2009-06-03,TMIN,160
UPM00034524,2009-01-15,TMAX,10
UPM00034524,2007-12-28,TMIN,-78
UPM00034519,2007-10-25,TMIN,101
UPM00034519,2010-04-03,TMIN,68
UPM00034519,2008-10-28,TMIN,48
UPM00034524,2008-09-18,TMIN,70
UPM00034519,2012-11-16,TMIN,-40
UPM00034524,2005-07-01,TMAX,241
UPM00034519,2007-03-16,TMIN,-27
